period_end,fiscal_year,fiscal_period,COGS,NetIncome,OperatingExpenses,OperatingLoss,Revenue,CashAndEquivalents,CurrentAssets,CurrentLiabilities,StockholdersEquity,TotalAssets,TotalLiabilities,CapEx,FinancingCashFlow,InvestingCashFlow,OperatingCashFlow,is_imputed,yoy_outlier_flag,balance_sheet_check_pass,net_income_vs_ocf_flag,TotalDebt,gross_margin_pct,operating_loss_margin_pct,revenue_growth_yoy_pct,free_cash_flow,current_ratio,debt_to_equity_ratio,quarterly_cash_burn,avg_monthly_burn,runway_months,runway_risk_lt_12m
2018-01-31,2021,FY,,,,,,,,,-131.892,,,,,,,False,False,False,False,,,,,,,,0.0,0.0,inf,False
2019-01-31,2021,FY,51.753,-178.028,230.378,-185.465,96.666,116.541,,,-312.467,,,2.058,413.601,-362.642,-143.982,False,False,False,False,,46.46204456582459,-191.86166801150353,,-146.04,,,143.982,47.994,2.428241030128766,True
2019-01-31,2021,Q3,51.753,-178.028,230.378,-185.465,96.666,116.541,,,-312.467,,,2.058,413.601,-362.642,-143.982,True,False,False,False,,46.46204456582459,-191.86166801150353,,-146.04,,,143.982,47.994,2.428241030128766,True
2019-01-31,2022,FY,51.753,-178.028,230.378,-185.465,96.666,116.541,,,-312.467,,,2.058,413.601,-362.642,-143.982,True,False,False,False,,46.46204456582459,-191.86166801150353,,-146.04,,,143.982,47.994,2.428241030128766,True
2019-07-31,2021,Q3,51.753,-178.028,230.378,-185.465,96.666,116.541,,,-445.984,,,2.058,413.601,-362.642,-143.982,True,False,False,False,,46.46204456582459,-191.86166801150353,,-146.04,,,143.982,47.994,2.428241030128766,True
2019-10-31,2021,Q3,29.489,-88.057,133.655,-90.132,73.012,179.138,,,-489.438,,,14.504,50.811,154.145,-133.766,False,False,False,True,,59.61074891798608,-123.4482002958418,-24.4698239298202,-148.26999999999998,,,133.766,44.58866666666666,4.017567991866394,True
2020-01-31,2021,FY,116.557,-348.535,506.279,-358.088,264.748,127.206,665.194,416.455,-544.757,1012.72,621.003,18.583,57.469,138.495,-176.558,False,False,False,False,,55.97436052396995,-135.25616812969318,262.60888621048593,-195.141,1.597277016724496,,176.558,58.852666666666664,2.1614313709942343,True
2020-01-31,2021,Q3,116.557,-348.535,506.279,-358.088,264.748,127.206,665.194,416.455,-544.757,1012.72,621.003,18.583,57.469,138.495,-176.558,True,False,False,False,,55.97436052396995,-135.25616812969318,262.60888621048593,-195.141,1.597277016724496,,176.558,58.852666666666664,2.1614313709942343,True
2020-01-31,2022,FY,116.557,-348.535,506.279,-358.088,264.748,127.206,,,-544.757,,,18.583,57.469,138.495,-176.558,False,False,False,False,,55.97436052396995,-135.25616812969318,262.60888621048593,-195.141,,,176.558,58.852666666666664,2.1614313709942343,True
2020-01-31,2022,Q1,29.489,-88.057,133.655,-90.132,73.012,179.138,,,-544.757,,,14.504,50.811,154.145,-133.766,True,False,False,True,,59.61074891798608,-123.4482002958418,-24.4698239298202,-148.26999999999998,,,133.766,44.58866666666666,4.017567991866394,True
2020-01-31,2022,Q2,29.489,-88.057,133.655,-90.132,73.012,179.138,,,-544.757,,,14.504,50.811,154.145,-133.766,True,False,False,True,,59.61074891798608,-123.4482002958418,-24.4698239298202,-148.26999999999998,,,133.766,44.58866666666666,4.017567991866394,True
2020-01-31,2022,Q3,29.489,-88.057,133.655,-90.132,73.012,179.138,,,-544.757,,,14.504,50.811,154.145,-133.766,True,False,False,True,,59.61074891798608,-123.4482002958418,-24.4698239298202,-148.26999999999998,,,133.766,44.58866666666666,4.017567991866394,True
2020-04-30,2022,Q1,42.557,-93.644,162.661,-96.403,108.815,437.56,665.194,416.455,-604.046,1012.72,621.003,2.033,489.469,-172.004,-6.592,True,False,False,True,,60.890502228553046,-88.59348435417913,49.037144578973326,-8.625,1.597277016724496,,6.592,2.1973333333333334,199.13228155339806,False
